Term1,Term2,Term3,TrigramFreq,BigramContextFreq,TrigramProb
estén,bien,&,2,2,1.0
tu,me,traes,2,2,1.0
te,preocupes,bebé,2,4,0.5
que,asco,&,2,2,1.0
$,jajajajaja,&,2,2,1.0
meter,en,la,2,2,1.0
a,meter,en,2,3,0.6666666666666666
mañana,?,&,2,3,0.6666666666666666
la,mañana,?,2,3,0.6666666666666666
a,la,mañana,2,14,0.14285714285714285
$,depende,la,2,2,1.0
$,🔥,🔥,2,4,0.5
$,el,otro,2,14,0.14285714285714285
ya,me,voy,2,4,0.5
$,y,no,2,64,0.03125
$,voy,a,2,5,0.4
@,5216462270012,&,2,2,1.0
$,en,realidad,2,17,0.11764705882352941
⚽,️,&,2,2,1.0
a,la,verga,2,14,0.14285714285714285
gracias,por,venir,2,2,1.0
ola,amigos,&,2,2,1.0
una,foto,&,2,3,0.6666666666666666
$,yo,no,2,41,0.04878048780487805
$,de,los,2,18,0.1111111111111111
te,preocupes,&,2,4,0.5
mas,mas,mi,2,3,0.6666666666666666
el,otro,día,2,3,0.6666666666666666
$,y,el,2,64,0.03125
muy,bn,mi,2,7,0.2857142857142857
$,si,se,2,38,0.05263157894736842
$,que,bueno,2,27,0.07407407407407407
qlero,tomar,clases,2,2,1.0
no,ma,bebé,2,53,0.03773584905660377
$,ola,amigos,2,9,0.2222222222222222
tomar,clases,con,2,2,1.0
de,leonor,&,2,2,1.0
$,es,de,2,33,0.06060606060606061
$,y,un,2,64,0.03125
oigan,chicas,&,2,3,0.6666666666666666
es,lo,peor,2,3,0.6666666666666666
no,bebé,no,2,5,0.4
de,lo,de,2,2,1.0
🫂,🤝,&,2,2,1.0
no,ma,se,2,53,0.03773584905660377
para,que,te,2,3,0.6666666666666666
le,dijo,a,2,2,1.0
es,que,me,2,24,0.08333333333333333
$,gracias,pop,2,25,0.08
$,y,te,2,64,0.03125
$,no,maaa,2,116,0.017241379310344827
en,mi,prime,2,6,0.3333333333333333
$,perdón,&,2,8,0.25
$,hola,amigo,2,15,0.13333333333333333
lleva,la,pinche,2,4,0.5
$,@,5217444072924,2,17,0.11764705882352941
$,no,cheto,2,116,0.017241379310344827
pedo,🔥,🔥,2,2,1.0
$,porque,&,2,17,0.11764705882352941
acabo,de,ver,2,3,0.6666666666666666
$,sabes,q,2,2,1.0
$,ps,si,2,3,0.6666666666666666
$,pensé,que,2,2,1.0
$,si,es,2,38,0.05263157894736842
pensé,que,no,2,5,0.4
estamos,para,🫶,2,2,1.0
que,no,iba,2,24,0.08333333333333333
para,🫶,&,2,2,1.0
no,iba,a,2,2,1.0
iba,a,llegar,2,7,0.2857142857142857
a,llegar,a,2,2,1.0
$,tkm,bro,2,2,1.0
tkm,bro,tú,2,2,1.0
bro,tú,sabes,2,2,1.0
😈,🔥,&,2,2,1.0
$,jajajaja,&,2,2,1.0
clase,del,2ndo,2,2,1.0
del,2ndo,departamental,2,2,1.0
2ndo,departamental,&,2,2,1.0
$,tengo,que,2,5,0.4
$,weno,ya,2,12,0.16666666666666666
delete,sin,el,2,2,1.0
$,pues,si,2,6,0.3333333333333333
ya,se,&,2,6,0.3333333333333333
quieres,que,nos,2,2,1.0
a,las,3,2,9,0.2222222222222222
no,maaaa,&,2,4,0.5
rey,de,las,2,2,1.0
te,pasa,&,2,2,1.0
de,las,bromas,2,8,0.25
las,3,&,2,2,1.0
gracias,a,dios,2,2,1.0
$,gracias,a,2,25,0.08
$,ya,tengo,2,30,0.06666666666666667
ya,tengo,a,2,3,0.6666666666666666
todo,?,&,2,3,0.6666666666666666
creo,que,no,2,14,0.14285714285714285
$,era,broma,2,3,0.6666666666666666
se,ve,que,2,2,1.0
$,por,eso,2,8,0.25
no,cierto,&,2,3,0.6666666666666666
$,yo,tampoco,2,41,0.04878048780487805
$,siento,que,2,2,1.0
$,ya,lo,2,30,0.06666666666666667
hola,amigo,&,2,2,1.0
y,me,dijo,2,11,0.18181818181818182
un,delete,sin,2,2,1.0
hay,que,hacerlo,2,8,0.25
$,yo,también,2,41,0.04878048780487805
se,meten,al,2,3,0.6666666666666666
al,rss,de,2,2,1.0
ya,vas,a,2,2,1.0
$,pero,se,2,64,0.03125
llegar,a,mi,2,2,1.0
$,creo,que,2,3,0.6666666666666666
.,),&,2,4,0.5
$,con,cuidado,2,4,0.5
$,hay,q,2,7,0.2857142857142857
$,dame,5,2,5,0.4
o,no,&,2,4,0.5
dame,5,&,2,2,1.0
$,vas,a,2,2,1.0
$,pero,en,2,64,0.03125
$,no,tengo,2,116,0.017241379310344827
de,hoy,&,2,3,0.6666666666666666
las,calificaciones,el,2,2,1.0
la,verga,&,2,3,0.6666666666666666
no,ma,la,2,53,0.03773584905660377
que,eras,tú,2,2,1.0
perra,chingada,&,2,2,1.0
pero,ya,estoy,2,4,0.5
se,podía,pedir,2,2,1.0
oye,sacum,&,2,2,1.0
$,pero,son,2,64,0.03125
$,oye,sacum,2,9,0.2222222222222222
quedando,bien,&,2,2,1.0
cariño,mío,&,2,2,1.0
van,a,preñar,2,6,0.3333333333333333
),(,.,2,2,1.0
$,q,pacho,2,30,0.06666666666666667
q,pacho,&,2,2,1.0
$,amigos,&,2,3,0.6666666666666666
en,amazon,&,2,2,1.0
$,como,vas,2,14,0.14285714285714285
se,mama,&,2,2,1.0
$,puta,madre,2,3,0.6666666666666666
posada,navideña,de,2,2,1.0
en,la,escuela,2,13,0.15384615384615385
tiempo,?,&,2,2,1.0
de,tiempo,?,2,3,0.6666666666666666
$,le,pusimos,2,7,0.2857142857142857
con,cuidado,&,2,2,1.0
.,),(,2,4,0.5
puta,madre,&,2,3,0.6666666666666666
$,(,.,2,2,1.0
series,de,tiempo,2,2,1.0
me,pasaron,mis,1,1,1.0
$,-,-,1,3,0.3333333333333333
su,tete,?,1,1,1.0
$,deq,es,1,1,1.0
deq,es,su,1,1,1.0
yo,estoy,en,1,1,1.0
es,su,tete,1,1,1.0
pasaron,mis,directores,1,1,1.0
que,me,pasaron,1,6,0.16666666666666666
$,yo,estoy,1,41,0.024390243902439025
los,que,me,1,2,0.5
traen,ellos,&,1,1,1.0
-,-,select,1,1,1.0
si,se,ve,1,11,0.09090909090909091
tete,?,&,1,1,1.0
bn,rancios,de,1,1,1.0
oigan,fritos,&,1,1,1.0
$,oigan,fritos,1,17,0.058823529411764705
rancios,de,que,1,1,1.0
escuchan,bien,enojados,1,1,1.0
de,que,es,1,2,0.5
si,se,escuchan,1,11,0.09090909090909091
ma,si,se,1,1,1.0
estan,bn,rancios,1,1,1.0
no,ma,si,1,53,0.018867924528301886
