Term1,Term2,Term3,TrigramFreq,BigramContextFreq,TrigramProb
que,si,me,2,42,0.047619047619047616
me,gustan,&,2,4,0.5
a,la,que,2,42,0.047619047619047616
muy,buena,",",2,6,0.3333333333333333
en,el,video,2,15,0.13333333333333333
el,nombre,&,2,3,0.6666666666666666
íbamos,a,ver,2,3,0.6666666666666666
me,duermo,&,2,2,1.0
a,ti,si,2,7,0.2857142857142857
con,razón,",",2,2,1.0
en,las,fiestas,2,5,0.4
lo,he,comido,2,3,0.6666666666666666
he,comido,así,2,2,1.0
estoy,en,mi,2,2,1.0
en,mi,casa,2,5,0.4
siiii,",",solo,2,10,0.2
$,a,veces,2,32,0.0625
a,veces,solo,2,8,0.25
una,que,es,2,5,0.4
en,la,secundaria,2,38,0.05263157894736842
$,sii,y,2,53,0.03773584905660377
son,un,buen,2,2,1.0
lo,bueno,",",2,9,0.2222222222222222
bueno,",",si,2,9,0.2222222222222222
es,esta,&,2,2,1.0
lo,bueno,es,2,9,0.2222222222222222
me,quede,dormido,2,5,0.4
tu,casa,?,2,3,0.6666666666666666
visto,que,es,2,4,0.5
he,visto,que,2,4,0.5
",",a,ver,2,7,0.2857142857142857
la,de,en,2,14,0.14285714285714285
de,en,medio,2,2,1.0
a,estar,difícil,2,6,0.3333333333333333
opción,es,que,2,3,0.6666666666666666
a,tener,que,2,6,0.3333333333333333
ver,que,tal,2,6,0.3333333333333333
no,lo,has,2,16,0.125
te,gustan,&,2,7,0.2857142857142857
que,te,gustan,2,17,0.11764705882352941
me,da,pena,2,2,1.0
quede,en,la,2,2,1.0
me,quede,en,2,5,0.4
la,cabeza,&,2,3,0.6666666666666666
sii,",",si,2,21,0.09523809523809523
$,pero,se,2,35,0.05714285714285714
le,habia,dicho,2,2,1.0
$,lo,voy,2,18,0.1111111111111111
está,bien,&,2,8,0.25
$,y,la,2,51,0.0392156862745098
ahhh,ya,",",2,3,0.6666666666666666
lo,mejor,y,2,8,0.25
y,la,otra,2,5,0.4
si,me,toco,2,32,0.0625
bueno,es,que,2,2,1.0
hace,que,si,2,6,0.3333333333333333
en,un,momento,2,5,0.4
$,yp,igual,2,6,0.3333333333333333
creo,que,esos,2,82,0.024390243902439025
pero,si,la,2,7,0.2857142857142857
salon,?,&,2,2,1.0
todos,en,el,2,2,1.0
tu,trabajo,y,2,3,0.6666666666666666
$,ah,ya,2,16,0.125
en,la,que,2,38,0.05263157894736842
de,la,semana,2,40,0.05
la,semana,pasada,2,5,0.4
espero,que,si,2,8,0.25
ahora,si,ya,2,13,0.15384615384615385
",",porque,en,2,8,0.25
siii,",",pero,2,43,0.046511627906976744
en,la,ciudad,2,38,0.05263157894736842
más,tarde,&,2,2,1.0
pero,no,me,2,23,0.08695652173913043
",",espero,que,2,2,1.0
$,ahh,bueno,2,16,0.125
ahh,bueno,",",2,2,1.0
que,se,veía,2,26,0.07692307692307693
$,que,padre,2,19,0.10526315789473684
a,las,5,2,14,0.14285714285714285
$,siii,si,2,72,0.027777777777777776
te,gustó,?,2,2,1.0
$,ajaaa,",",2,3,0.6666666666666666
estaba,muy,buena,2,2,1.0
muy,buena,&,2,6,0.3333333333333333
$,estuvo,padre,2,2,1.0
siii,",",esque,2,43,0.046511627906976744
bueno,al,menos,2,3,0.6666666666666666
la,he,visto,2,2,1.0
y,tu,?,2,2,1.0
de,mis,favoritas,2,4,0.5
(,?,&,2,2,1.0
$,es,de,2,18,0.1111111111111111
me,tuve,que,2,2,1.0
del,día,&,2,2,1.0
mas,a,la,2,4,0.5
acuerdo,que,desde,2,5,0.4
yo,si,me,2,6,0.3333333333333333
",",de,repente,2,12,0.16666666666666666
mi,agua,a,2,2,1.0
agua,a,la,2,2,1.0
",",no,lo,2,30,0.06666666666666667
el,calor,&,2,3,0.6666666666666666
imagino,que,es,2,2,1.0
me,imagino,que,2,4,0.5
de,los,demás,2,7,0.2857142857142857
porque,fui,al,2,2,1.0
",",te,haré,2,11,0.18181818181818182
que,me,ayudó,2,20,0.1
ya,es,mas,2,6,0.3333333333333333
un,poco,el,2,6,0.3333333333333333
se,ve,padre,2,11,0.18181818181818182
me,imagino,",",2,4,0.5
si,me,imagino,2,32,0.0625
",",yo,no,2,20,0.1
no,lo,he,2,16,0.125
",",ya,tiene,2,25,0.08
ya,tiene,mucho,2,2,1.0
que,no,voy,2,31,0.06451612903225806
mi,me,gusta,2,3,0.6666666666666666
$,sii,pero,2,53,0.03773584905660377
$,solo,hay,2,20,0.1
el,dia,que,2,4,0.5
lo,más,seguro,2,2,1.0
te,preocupes,&,2,10,0.2
avisas,cuando,ya,2,3,0.6666666666666666
",",me,avisas,2,13,0.15384615384615385
$,ah,si,2,16,0.125
el,video,?,2,4,0.5
video,?,&,2,3,0.6666666666666666
que,si,los,2,42,0.047619047619047616
no,me,acuerdo,2,22,0.09090909090909091
$,de,los,2,23,0.08695652173913043
es,que,no,2,19,0.10526315789473684
",",aun,así,2,6,0.3333333333333333
aun,así,ya,2,8,0.25
de,la,escuela,2,40,0.05
$,aun,asi,2,3,0.6666666666666666
",",no,te,2,30,0.06666666666666667
$,el,que,2,10,0.2
$,ayy,",",2,4,0.5
",",recuerdo,que,2,3,0.6666666666666666
vale,la,pena,2,2,1.0
acabe,el,6,2,2,1.0
",",pero,esque,2,25,0.08
$,es,cierto,2,18,0.1111111111111111
$,pero,si,2,35,0.05714285714285714
pero,si,me,2,7,0.2857142857142857
me,dijeron,que,2,2,1.0
$,las,de,2,7,0.2857142857142857
$,está,muy,2,6,0.3333333333333333
a,las,9,2,14,0.14285714285714285
a,alguno,?,2,2,1.0
me,digassss,&,2,2,1.0
te,gustan,?,2,7,0.2857142857142857
voy,a,meter,2,25,0.08
$,voy,a,2,4,0.5
de,la,tarde,2,40,0.05
las,de,la,2,5,0.4
la,escuela,?,2,19,0.10526315789473684
creo,que,vale,2,82,0.024390243902439025
$,esque,ya,2,13,0.15384615384615385
esque,ya,no,2,5,0.4
esa,es,la,2,2,1.0
la,verdad,",",2,10,0.2
vas,a,ir,2,10,0.2
si,se,pasó,2,9,0.2222222222222222
$,si,se,2,53,0.03773584905660377
si,me,lo,2,32,0.0625
yo,te,aviso,2,3,0.6666666666666666
",",pero,tampoco,2,25,0.08
creo,que,hasta,2,82,0.024390243902439025
$,ah,vale,2,16,0.125
$,ya,terminé,2,33,0.06060606060606061
que,no,se,2,31,0.06451612903225806
no,hay,clase,2,10,0.2
?,👀,&,2,2,1.0
?,?,👀,2,96,0.020833333333333332
porque,no,lo,2,4,0.5
que,bueno,que,2,7,0.2857142857142857
los,va,a,2,2,1.0
la,mañana,",",2,10,0.2
o,al,menos,2,3,0.6666666666666666
como,que,se,2,6,0.3333333333333333
creo,que,yo,2,82,0.024390243902439025
",",igual,por,2,11,0.18181818181818182
no,vas,a,2,2,1.0
te,digo,que,2,4,0.5
gustan,?,&,2,2,1.0
$,no,sabia,2,68,0.029411764705882353
no,sabia,que,2,2,1.0
el,celular,a,2,2,1.0
ya,estas,en,2,2,1.0
si,es,muy,2,19,0.10526315789473684
",",buen,inicio,2,2,1.0
$,bueno,si,2,13,0.15384615384615385
