Term1,Term2,BigramFreq,ContextFreq,BigramProb
aún,no,4,13,0.3076923076923077
",",oye,4,515,0.007766990291262136
aun,asi,4,24,0.16666666666666666
cuando,ya,4,31,0.12903225806451613
el,tiempo,4,252,0.015873015873015872
un,día,4,68,0.058823529411764705
te,lo,4,129,0.031007751937984496
$,noop,4,1514,0.002642007926023778
de,comer,4,348,0.011494252873563218
$,recuerdo,4,1514,0.002642007926023778
ve,muy,4,13,0.3076923076923077
dicho,que,4,6,0.6666666666666666
y,un,4,166,0.024096385542168676
el,lunes,4,252,0.015873015873015872
para,la,4,71,0.056338028169014086
son,los,4,29,0.13793103448275862
el,sueño,4,252,0.015873015873015872
pero,en,4,140,0.02857142857142857
ya,ni,4,175,0.022857142857142857
me,gustan,4,217,0.018433179723502304
sii,me,4,63,0.06349206349206349
eso,si,4,47,0.0851063829787234
de,el,4,348,0.011494252873563218
de,eso,4,348,0.011494252873563218
$,ay,4,1514,0.002642007926023778
el,mismo,4,252,0.015873015873015872
fui,a,4,13,0.3076923076923077
buena,",",4,15,0.26666666666666666
$,aún,4,1514,0.002642007926023778
",",gracias,4,515,0.007766990291262136
$,jajja,4,1514,0.002642007926023778
.,&,4,41,0.0975609756097561
el,dia,4,252,0.015873015873015872
te,digo,4,129,0.031007751937984496
como,la,4,54,0.07407407407407407
pues,ya,4,17,0.23529411764705882
digo,que,4,6,0.6666666666666666
yo,tampoco,4,99,0.04040404040404041
que,dijo,4,578,0.006920415224913495
a,meter,4,343,0.011661807580174927
mañana,te,4,32,0.125
$,todo,4,1514,0.002642007926023778
la,practica,4,325,0.012307692307692308
que,siii,4,578,0.006920415224913495
si,está,4,279,0.014336917562724014
",",entonces,4,515,0.007766990291262136
$,jajajja,4,1514,0.002642007926023778
pero,se,4,140,0.02857142857142857
$,dijo,4,1514,0.002642007926023778
sii,es,4,63,0.06349206349206349
era,de,4,23,0.17391304347826086
de,una,4,348,0.011494252873563218
$,mira,4,1514,0.002642007926023778
$,jajjaja,4,1514,0.002642007926023778
mas,a,4,46,0.08695652173913043
otra,vez,4,18,0.2222222222222222
en,realidad,4,196,0.02040816326530612
siiiii,&,4,14,0.2857142857142857
examen,&,4,15,0.26666666666666666
me,dices,4,217,0.018433179723502304
$,jajaj,4,1514,0.002642007926023778
$,voy,4,1514,0.002642007926023778
$,ayy,4,1514,0.002642007926023778
jajja,",",4,15,0.26666666666666666
",",sino,4,515,0.007766990291262136
tu,?,4,51,0.0784313725490196
que,yo,4,578,0.006920415224913495
bue,o,4,4,1.0
mas,que,4,46,0.08695652173913043
el,video,4,252,0.015873015873015872
me,imagino,4,217,0.018433179723502304
😓,&,4,6,0.6666666666666666
porque,el,4,61,0.06557377049180328
$,ayyy,4,1514,0.002642007926023778
pero,lo,4,140,0.02857142857142857
que,esa,4,578,0.006920415224913495
creo,si,4,106,0.03773584905660377
seguro,&,4,9,0.4444444444444444
papá,&,4,8,0.5
",",o,4,515,0.007766990291262136
