Term1,Term2,BigramFreq,ContextFreq,BigramProb
jajaja,",",2,3,0.6666666666666666
$,*,2,416,0.004807692307692308
preocupes,&,2,2,1.0
kabron,&,2,2,1.0
ay,kabron,2,5,0.4
equipo,por,2,6,0.3333333333333333
7,de,2,2,1.0
estamos,en,2,6,0.3333333333333333
espero,que,2,2,1.0
+,un,2,3,0.6666666666666666
",",me,2,64,0.03125
",",modelo,2,64,0.03125
$,iremos,2,416,0.004807692307692308
yo,digo,2,12,0.16666666666666666
que,ya,2,61,0.03278688524590164
la,verdad,2,29,0.06896551724137931
con,él,2,18,0.1111111111111111
preguntas,de,2,2,1.0
$,pregunté,2,416,0.004807692307692308
para,la,2,13,0.15384615384615385
$,nosotros,2,416,0.004807692307692308
",",y,2,64,0.03125
$,espero,2,416,0.004807692307692308
$,solo,2,416,0.004807692307692308
se,puede,2,28,0.07142857142857142
$,but,2,416,0.004807692307692308
por,cierto,2,20,0.1
mimir,😴,1,2,0.5
ya,a,1,32,0.03125
protocolo,gabygod,1,12,0.08333333333333333
la,matriz,1,29,0.034482758620689655
",",de,1,64,0.015625
si,ya,1,22,0.045454545454545456
siii,",",1,1,1.0
normalizado,al,1,1,1.0
😴,&,1,4,0.25
el,corpus,1,47,0.02127659574468085
al,igual,1,10,0.1
igual,que,1,2,0.5
que,el,1,61,0.01639344262295082
el,test,1,47,0.02127659574468085
corpus,normalizado,1,2,0.5
test,normalizar,1,1,1.0
utilizar,el,1,1,1.0
que,siii,1,61,0.01639344262295082
$,utilizar,1,416,0.002403846153846154
normalizar,&,1,2,0.5
el,vectorizardor,1,47,0.02127659574468085
vectorizardor,y,1,1,1.0
de,verdad,1,54,0.018518518518518517
verdad,que,1,3,0.3333333333333333
ahora,si,1,1,1.0
tentativa,pa,1,1,1.0
$,ahora,1,416,0.002403846153846154
tiempo,.,1,4,0.25
como,habia,1,8,0.125
asi,como,1,3,0.3333333333333333
todos,asi,1,1,1.0
entre,todos,1,1,1.0
esponjosito,no,1,8,0.125
3,entre,1,5,0.2
últimos,3,1,1,1.0
los,últimos,1,11,0.09090909090909091
dio,tiempo,1,4,0.25
y,los,1,32,0.03125
viernes,?,1,1,1.0
quién,y,1,1,1.0
cada,quién,1,1,1.0
1,cada,1,3,0.3333333333333333
dividir,1,1,1,1.0
podemos,dividir,1,1,1.0
nos,podemos,1,20,0.05
si,nos,1,22,0.045454545454545456
cronograma,si,1,2,0.5
acuerdo,a,1,1,1.0
hacer,lo,1,6,0.16666666666666666
habia,dicho,1,1,1.0
dicho,sagal,1,1,1.0
sagal,.,1,9,0.1111111111111111
el,viernes,1,47,0.02127659574468085
?,el,1,65,0.015384615384615385
sagal,?,1,9,0.1111111111111111
con,sagal,1,18,0.05555555555555555
volver,con,1,1,1.0
y,volver,1,32,0.03125
terminarlo,y,1,1,1.0
",",esque,1,64,0.015625
pa,terminarlo,1,1,1.0
también,me,1,7,0.14285714285714285
esque,por,1,3,0.3333333333333333
la,tentativa,1,29,0.034482758620689655
es,la,1,13,0.07692307692307693
fecha,es,1,1,1.0
que,fecha,1,61,0.01639344262295082
pregunta,",",1,2,0.5
otra,pregunta,1,1,1.0
por,hacer,1,20,0.05
$,otra,1,416,0.002403846153846154
matriz,&,1,1,1.0
dice,pop,1,1,1.0
me,sale,1,24,0.041666666666666664
nosotros,&,1,8,0.125
(,que,1,16,0.0625
hicisteis,(,1,1,1.0
ya,hicisteis,1,32,0.03125
nlp,lo,1,7,0.14285714285714285
presentamos,a,1,1,1.0
le,presentamos,1,14,0.07142857142857142
mañana,le,1,8,0.125
descanses,&,1,1,1.0
que,descanses,1,61,0.01639344262295082
$,de,1,416,0.002403846153846154
sale,146,1,1,1.0
el,dia,1,47,0.02127659574468085
enviarlos,&,1,1,1.0
que,enviarlos,1,61,0.01639344262295082
ay,que,1,5,0.2
18,gaby,1,1,1.0
al,18,1,10,0.1
10,al,1,1,1.0
del,10,1,17,0.058823529411764705
$,del,1,416,0.002403846153846154
pipa,con,1,4,0.25
esta,pipa,1,15,0.06666666666666667
que,fue,1,61,0.01639344262295082
fue,bastante,1,3,0.3333333333333333
zona,de,1,1,1.0
*,zona,1,7,0.14285714285714285
