Term1,Term2,Term3,TrigramFreq,BigramContextFreq,TrigramProb
clase,de,metodología,2,11,0.18181818181818182
a,temas,selectos,2,2,1.0
buscar,más,distancias,2,2,1.0
quería,saber,si,2,3,0.6666666666666666
otra,vez,&,2,6,0.3333333333333333
vava,al,rato,2,2,1.0
$,cierto,&,2,5,0.4
xddd,jajaja,&,2,3,0.6666666666666666
es,muy,tranqui,2,2,1.0
$,estrategia,&,2,2,1.0
jajaja,muchas,gracias,2,2,1.0
llego,a,las,2,3,0.6666666666666666
tarde,.,&,2,2,1.0
$,0,:,2,2,1.0
hay,clase,de,2,8,0.25
$,vava,al,2,27,0.07407407407407407
$,no,pues,2,40,0.05
no,pues,si,2,3,0.6666666666666666
investigo,a,ver,2,2,1.0
hoy,hay,clase,2,2,1.0
la,cafe,&,2,3,0.6666666666666666
¿,?,xddd,2,52,0.038461538461538464
igual,si,me,2,4,0.5
$,está,más,2,7,0.2857142857142857
no,responda,tan,2,2,1.0
pero,la,verdad,2,2,1.0
$,y,que,2,44,0.045454545454545456
$,en,resumen,2,21,0.09523809523809523
$,se,logró,2,15,0.13333333333333333
más,o,menos,2,2,1.0
$,según,yo,2,2,1.0
así,que,no,2,4,0.5
",",bonita,noche,2,4,0.5
las,próximas,clases,2,2,1.0
la,verdad,no,2,3,0.6666666666666666
$,no,me,2,40,0.05
dan,ganas,de,2,3,0.6666666666666666
$,es,el,2,23,0.08695652173913043
y,si,",",2,16,0.125
:,40,&,2,3,0.6666666666666666
$,ah,jajaja,2,20,0.1
",",a,ver,2,3,0.6666666666666666
te,aviso,si,2,12,0.16666666666666666
tuve,fe,&,2,2,1.0
por,si,acaso,2,6,0.3333333333333333
era,broma,jajaja,2,2,1.0
no,sé,&,2,13,0.15384615384615385
le,envié,todo,2,2,1.0
es,el,que,2,5,0.4
la,práctica,&,2,5,0.4
la,clase,es,2,14,0.14285714285714285
no,alcanzo,a,2,2,1.0
tardes,",",gerrygod,2,2,1.0
$,jajaja,cierto,2,53,0.03773584905660377
buenas,tardes,",",2,2,1.0
$,buenas,tardes,2,3,0.6666666666666666
seguro,?,&,2,4,0.5
$,ando,en,2,3,0.6666666666666666
lo,que,le,2,13,0.15384615384615385
los,de,ia,2,4,0.5
con,los,de,2,5,0.4
$,y,todo,2,44,0.045454545454545456
si,va,a,2,3,0.6666666666666666
creí,que,era,2,4,0.5
que,era,broma,2,6,0.3333333333333333
alcanzo,a,llegar,2,3,0.6666666666666666
$,vavava,nos,2,49,0.04081632653061224
y,pues,no,2,3,0.6666666666666666
si,se,hace,2,6,0.3333333333333333
